Código,Nome,Período,Duração,Dependências
BCC201,INTRODUCAO A PROGRAMACAO,1,1,
BCC265,ELETRONICA PARA COMPUTACAO,1,1,
BCC501,INTRODUCAO A CIENCIA DA COMPUTACAO,1,1,
MTM122,CALCULO DIFERENCIAL E INTEGRAL I,1,1,
MTM131,GEOMETRIA ANALITICA E CALCULO VETORIAL,1,1,
BCC101,MATEMATICA DISCRETA I,1,1,
BCC202,ESTRUTURA DE DADOS I,2,1,BCC201
BCC266,ORGANIZACAO DE COMPUTADORES,2,1,BCC201
BCC324,INTERACAO HUMANO-COMPUTADOR,2,1,
EAD700,PRATICA DE LEITURA E PRODUCAO DE TEXTOS,2,1,
MTM123,CALCULO DIFERENCIAL E INTEGRAL II,2,1,MTM122
BCC102,MATEMATICA DISCRETA II,3,1,BCC101
BCC203,ESTRUTURA DE DADOS II,3,1,BCC202
BCC221,PROGRAMACAO ORIENTADA A OBJETOS,3,1,BCC202
BCC222,PROGRAMACAO FUNCIONAL,3,1,BCC201
BCC263,ARQUITETURA DE COMPUTADORES,3,1,BCC266
MTM112,INTRODUCAO A ALGEBRA LINEAR,3,1,MTM131
BCC204,TEORIA DOS GRAFOS,4,1,BCC202
"BCC264,SISTEMAS OPERACIONAIS,4,1,BCC202;BCC263"
BCC322,ENGENHARIA DE SOFTWARE I,4,1,BCC221
BCC361,REDES DE COMPUTADORES,4,1,BCC266
"BCC760,CALCULO NUMERICO,4,1,BCC201;MTM112"
EST202,ESTATISTICA E PROBABILIDADE,4,1,MTM122
BCC241,PROJETO E ANALISE DE ALGORITMOS,5,1,BCC204
"BCC244,TEORIA DA COMPUTACAO,5,1,BCC102;BCC204"
BCC321,BANCO DE DADOS I,5,1,BCC203
BCC323,ENGENHARIA DE SOFTWARE II,5,1,BCC322
BCC362,SISTEMAS DISTRIBUIDOS,5,1,BCC361
BCC502,METODOLOGIA CIENTIFICA EM CIENCIA DA COMPUTACAO,5,1,
"BCC325,INTELIGENCIA ARTIFICIAL,6,1,BCC101;BCC202"
BCC326,PROCESSAMENTO DE IMAGENS,6,1,BCC202
"BCC327,COMPUTACAO GRAFICA,6,1,BCC202;MTM112"
"BCC328,CONSTRUCAO DE COMPILADORES I,6,1,BCC222;BCC244"
BCC342,INTRODUCAO A OTIMIZACAO,6,1,BCC202
BCC392,MONOGRAFIA I,7,1,BCC502
BCC503,INFORMATICA E SOCIEDADE,7,1,
FIL101,INTRODUCAO A HISTORIA DA FILOSOFIA,7,1,
BCC393,MONOGRAFIA II,8,1,BCC392
DIR260,DIREITO DA INFORMATICA,8,1,
PRO302,ACOES EMPREENDEDORAS,8,1,
