Código,Nome,Período,Duração,Dependências
CEA038,QUIMICA GERAL,1,1,
CEA039,QUIMICA GERAL EXPERIMENTAL,1,1,
CEA049,GEOMETRIA ANALITICA E ALGEBRA LINEAR,1,1,
CEA050,CALCULO DIFERENCIAL E INTEGRAL I,1,1,
CEA204,INTRODUCAO A ENGENHARIA ELETRICA,1,1,
CEA458,METODOLOGIA DA PESQUISA,1,1,
CSI030,PROGRAMACAO DE COMPUTADORES I,1,1,
EAD707,COMUNICACAO E EXPRESSAO,1,1,
CEA026,DESENHO COMPUTACIONAL,2,1,
"CEA051,CALCULO DIFERENCIAL E INTEGRAL II,2,1,CEA049;CEA050"
CEA055,ESTATISTICA E PROBABILIDADE,2,1,CEA050
"CEA061,FISICA I,2,1,CEA049;CEA050"
CSI488,ALGORITMOS E ESTRUTURA DE DADOS I,2,1,CSI030
CEA052,CALCULO DIFERENCIAL E INTEGRAL III,3,1,CEA051
CEA056,INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS,3,1,CEA051
"CEA062,FISICA II,3,1,CEA038;CEA039;CEA051;CEA061"
"CEA063,FISICA III,3,1,CEA038;CEA039;CEA051; CEA055;CEA061"
CEA341,PRINCIPIOS DE ELETRONICA DIGITAL,3,1,CSI030
"CEA057,METODOS MATEMATICOS APLICADOS A ENGENHARIA ELETRICA,4,1,CEA052;CEA056"
"CEA064,FISICA IV,4,1,CEA052;CEA056;CEA062;CEA063"
"CEA552,CIRCUITOS ELETRICOS I,4,1,CEA056;CEA062"
CSI148,ANALISE NUMERICA,4,1,CSI030
"CSI203,ORGANIZACAO E ARQUITETURA DE COMPUTADORES I,4,1,CEA341;CSI030"
"CEA065,MECANICA QUANTICA APLICADA,5,1,CEA057;CEA064"
"CEA502,ELETROMAGNETISMO,5,1,CEA052;CEA063;CEA552"
"CEA555,MODELAGEM E ANALISE DE SISTEMAS LINEARES,5,1,CEA057;CEA064 ;CEA552;CSI148"
CEA562,SINAIS E SISTEMAS,5,1,CEA056
"CEA563,CIRCUITOS ELETRICOS II,5,1,CEA064;CEA552"
"CEA550,MAQUINAS ELETRICAS I,6,1,CEA502;CEA563"
CEA561,ELETRONICA I,6,1,CEA552
"CEA570,SISTEMAS DE CONTROLE I,6,1,CEA555;CEA562"
CEA573,SISTEMAS DE POTENCIA I,6,1,CEA563
CEA582,FUNDAMENTOS DE COMUNICACOES,6,1,CEA562
CEA560,MAQUINAS ELETRICAS II,7,1,CEA550
"CEA571,ELETRONICA II,7,1,CEA065;CEA555;CEA561"
"CEA580,MICROPROCESSADORES E MICROCONTROLADORES,7,1,CEA561;CSI203"
CEA583,SISTEMAS DE POTENCIA II,7,1,CEA573
CEA147,ELETRONICA EMBARCADA,8,1,CEA580
CEA581,ELETRONICA DE POTENCIA,8,1,CEA571
CEA671,PROCESSAMENTO DIGITAL DE SINAIS,8,1,CEA562
EAD344,TEORIA DA ADMINISTRACAO I,8,1,
"CEA572,INSTRUMENTACAO,9,1,CEA561;CEA570"
"CEA590,ACIONAMENTOS ELETRICOS,9,1,CEA560;CEA581"
"CEA598,PROJETO EM ENGENHARIA ELETRICA,9,1,CEA458;EAD707"
CSI548,REDES DE COMPUTADORES I,9,1,CSI488
EAD351,FILOSOFIA E ETICA,9,1,
"CEA066,FUNDAMENTOS DE CIENCIA DO AMBIENTE,10,1,CEA038;CEA039;CEA062;CEA063"
"CEA593,MATERIAIS ELETRICOS,10,1,CEA038;CEA039;CEA065;CEA502"
CEA594,PROJETO INTEGRADOR,10,1,
"CEA595,INFORMATICA INDUSTRIAL,10,1,CSI030;CSI548"
CEA597,INSTALACOES ELETRICAS,10,1,CEA563
