Código,Nome,Período,Duração,Dependências
CEA036,FUND. DE GEOMETRIA ANALÍTICA E ÁLGEBRA LINEAR,1,1,
CEA423,FUNDAMENTOS DE CÁLCULO,1,1,
CSI101,PROGRAMAÇÃO DE COMPUTADORES I,1,1,
CSI601,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,1,1,
CSI901,INFORMÁTICA E SOCIEDADE,1,1,
CSI902,METODOLOGIA DE PESQUISA,1,1,
CSI011,MATEMÁTICA DISCRETA,2,1,
CSI102,PROGRAMAÇÃO DE COMPUTADORES II,2,1,CSI101
CSI103,ALGORITMOS E ESTRUTURA DE DADOS I,2,1,CSI101
CSI801,GESTÃO DA INFORMAÇÃO ,2,1,
ENP144,TEORIA GERAL DA ADMINISTRAÇÃO,2,1,
CEA307,ESTATÍSTICA E PROBABILIDADE,3,1,CEA423
CSI104,ALGORITMOS E ESTRUTURA DE DADOS II,3,1,CSI102;CSI103
CSI105,ALGORITMOS E ESTRUTURA DE DADOS III,3,1,CSI011;CSI103
CSI202,ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES I,3,1,
ENP473,COMPORTAMENTO ORGANIZACIONAL,3,1,
CSI204,SISTEMAS OPERACIONAIS,4,1,CSI202;CSI103
CSI403,ENGENHARIA DE SOFTWARE I,4,1,CSI102;CSI103
CSI602,BANCO DE DADOS I,4,1,CSI103
ENP012,PROGRAMAÇÃO LINEAR E INTEIRA,4,1,CEA036;CSI103
ENP150,ECONOMIA,4,1,CEA423
CSI106,FUNDAMENTOS TEÓRICOS DA COMPUTAÇÃO,5,1,CSI105
CSI301,REDES DE COMPUTADORES I,5,1,CSI101;CSI202
CSI404,ENGENHARIA DE SOFTWARE II,5,1,CSI403
CSI603,BANCO DE DADOS II,5,1,CSI104;CSI602
CSI701,INTELIGENCIA ARTIFICIAL,5,1,CSI105
CSI107,LINGUAGENS DE PROGRAMAÇÃO,6,1,CSI106
CSI302,SISTEMAS DISTRIBUÍDOS,6,1,CSI204;CSI301
CSI405,GERENCIA DE PROJETOS DE SOFTWARE,6,1,CSI404
CSI504,INTERAÇÃO HUMANO-COMPUTADOR,6,1,CSI403
CSI606,SISTEMAS WEB I,6,1,CSI602;CSI403
CSI802,GESTÃO DA TECNOLOGIA DA INFORMAÇÃO,7,1,CSI801
ENP026,ADMINISTRAÇÃO DE RECURSOS HUMANOS,7,1,
ENP493,EMPREENDEDORISMO,7,1,
CSI998,TRABALHO DE CONCLUSÃO DE CURSO I,7,1,CSI902
CSI303,SEGURANÇA E AUDITORIA DE SISTEMAS,8,1,CSI301
CSI605,SISTEMAS DE APOIO A DECISÃO,8,1,CSI601;CSI602
CSI999,TRABALHO DE CONCLUSÃO DE CURSO II,8,1,CSI998
